Participant_ID,Dummy1_Water_Sprite,Dummy2_Sprite_Water,gender,age,weight_1,hrs_no_eat_1,Hunglvl,Delicious_taste,currnt_ses,child_ses,fam_money,wlthy_ngbr,wlth_kids,hrs_eat_check,Foodweigh1,Foodweigh2,food_eaten,Calories_eaten,Finish_Drink,Drink_drank_OZ,childhood_SES_Mean
129,1,0,2,18,130,9,4,6,4,4,6,4,4,1,34,23,11,51.0719,1,12,4.66666666666667
142,0,1,2,21,155,4,4,6,6,6,6,6,6,4,33,20,13,60.3577,1,12,6
149,0,1,2,18,135,10,3,5,5,5,6,7,4,5,35,20,15,69.6435,1,12,5.66666666666667
144,0,1,2,18,125,6,2,5,5,4,7,7,6,6,34,31,3,13.9287,1,12,6.66666666666667
126,0,1,2,19,150,8,3,6,7,7,7,7,6,7,37,32,5,23.2145,1,12,6.66666666666667
148,1,0,2,22,140,7,2,5,5,4,6,5,5,7,33,30,3,13.9287,1,12,5.33333333333333
104,0,1,2,18,155,9,2,7,5,4,4,5,4,8,32,19,13,60.3577,1,12,4.33333333333333
107,1,0,2,18,165,8,4,5,4,4,6,5,5,8,31,28,3,13.9287,1,12,5.33333333333333
113,0,1,2,24,190,8,2,5,4,4,6,6,6,8,28,25,3,13.9287,1,12,6
134,0,1,2,22,125,9,3,6,4,4,5,2,2,8,33,30,3,13.9287,1,12,3
158,0,1,2,20,120,8,3,6,6,6,6,6,4,8,35,25,10,46.429,1,12,5.33333333333333
139,1,0,2,20,145,9,3,6,5,6,7,7,6,9,33,30,3,13.9287,1,12,6.66666666666667
147,0,1,2,22,112,9,4,7,5,5,7,4,5,9,37,7,30,139.287,1,12,5.33333333333333
153,0,1,2,18,126,10,3,6,4,4,5,4,3,9,34,5,29,134.6441,1,12,4
101,0,1,2,19,128,10,3,6,4,5,6,6,4,10,31,13,18,83.5722,1,12,5.33333333333333
102,0,1,2,21,110,10,2,7,4,4,6,4,5,10,34,3,31,143.9299,1,12,5
103,1,0,2,18,132,10,2,6,5,5,6,5,4,10,32,3,29,134.6441,2,0,5
105,1,0,2,19,127,10,3,5,7,5,4,3,4,10,31,28,3,13.9287,2,0,3.66666666666667
106,0,1,2,19,130,10,3,6,6,4,6,5,5,10,31,3,28,130.0012,1,12,5.33333333333333
108,1,0,2,18,160,10,4,5,4,4,6,6,4,10,32,26,6,27.8574,1,12,5.33333333333333
109,0,1,2,21,128,10,3,7,5,2,2,3,4,10,31,28,3,13.9287,1,12,3
110,1,0,2,18,131,10,4,6,6,5,7,6,5,10,31,18,13,60.3577,1,12,6
111,0,1,2,18,130,10,2,7,4,5,6,6,4,10,32,3,29,134.6441,1,12,5.33333333333333
112,1,0,2,18,100,10,4,7,3,2,4,1,1,10,32,3,29,134.6441,1,12,2
114,1,0,2,21,113,10,3,6,4,4,7,7,5,10,32,16,16,74.2864,1,12,6.33333333333333
115,0,1,2,18,120,9,3,6,5,4,6,5,5,10,31,14,17,78.9293,1,12,5.33333333333333
116,1,0,2,18,118,10,3,7,5,5,6,5,3,10,29,25,4,18.5716,1,12,4.66666666666667
117,0,1,2,18,137,10,2,5,5,5,6,5,4,10,32,22,10,46.429,1,12,5
118,1,0,2,19,120,10,3,7,5,4,7,6,7,10,31,25,6,27.8574,1,12,6.66666666666667
119,0,1,2,18,170,10,3,6,5,4,6,4,4,10,29,3,26,120.7154,1,12,4.66666666666667
120,1,0,2,18,150,10,3,7,4,3,3,5,4,10,33,5,28,130.0012,1,12,4
121,0,1,2,18,134,10,2,5,6,5,6,7,5,10,35,32,3,13.9287,1,12,6
122,1,0,2,18,140,10,3,7,5,4,6,6,6,10,34,6,28,130.0012,1,12,6
123,0,1,2,18,150,10,3,7,5,4,6,3,5,10,32,5,27,125.3583,1,12,4.66666666666667
124,1,0,2,21,135,10,2,6,6,5,7,6,5,10,33,24,9,41.7861,1,12,6
125,1,0,2,18,136,10,2,6,5,5,7,6,6,10,34,28,6,27.8574,1,12,6.33333333333333
127,1,0,2,19,140,10,3,5,6,4,6,6,6,10,33,30,3,13.9287,1,12,6
128,0,1,2,19,130,7,3,5,4,4,6,5,4,10,33,20,13,60.3577,1,12,5
130,0,1,2,21,121,10,3,3,6,5,6,6,5,10,33,30,3,13.9287,1,12,5.66666666666667
131,1,0,2,19,160,10,3,4,4,4,5,7,1,10,34,30,4,18.5716,1,12,4.33333333333333
132,0,1,2,19,125,10,3,6,6,6,7,6,4,10,33,27,6,27.8574,1,12,5.66666666666667
133,1,0,2,20,160,10,3,5,3,3,5,1,1,10,33,30,3,13.9287,1,12,2.33333333333333
135,1,0,2,18,106,10,3,6,5,4,6,5,5,10,34,11,23,106.7867,1,12,5.33333333333333
136,0,1,2,21,165,10,2,7,6,6,7,6,3,10,34,5,29,134.6441,1,12,5.33333333333333
137,1,0,2,19,120,10,2,6,5,4,6,5,5,10,33,13,20,92.858,1,12,5.33333333333333
138,0,1,2,23,107,10,3,7,5,4,5,4,4,10,33,5,28,130.0012,1,12,4.33333333333333
140,1,0,2,22,180,10,2,6,5,4,6,6,4,10,31,13,18,83.5722,1,12,5.33333333333333
141,0,1,2,19,155,10,2,6,5,4,6,5,4,10,34,21,13,60.3577,1,12,5
143,1,0,2,18,135,10,2,6,5,5,6,6,5,10,44,31,13,60.3577,1,12,5.66666666666667
145,1,0,2,19,133,10,2,5,7,6,6,7,4,10,32,30,2,9.2858,1,12,5.66666666666667
146,1,0,2,19,128,10,2,7,5,5,7,6,5,10,34,17,17,78.9293,1,12,6
150,1,0,2,20,110,10,5,4,4,4,2,2,2,10,35,32,3,13.9287,2,0,2
151,0,1,2,19,175,10,2,6,4,4,5,2,2,10,34,31,3,13.9287,1,12,3
152,1,0,2,20,140,10,2,6,5,4,6,5,4,10,35,5,30,139.287,1,12,5
154,1,0,2,19,145,10,3,6,6,6,7,7,6,10,32,30,2,9.2858,1,12,6.66666666666667
155,1,0,2,19,120,10,3,7,4,5,7,6,5,10,35,32,3,13.9287,1,12,6
156,0,1,2,18,145,10,4,7,6,4,7,6,4,10,33,30,3,13.9287,1,12,5.66666666666667
157,1,0,2,22,90,9,3,6,2,2,5,4,2,10,37,28,9,41.7861,1,12,3.66666666666667
159,1,0,2,18,135,10,3,7,5,4,6,7,6,10,34,26,8,37.1432,1,12,6.33333333333333
160,0,1,2,19,127,10,1,6,5,5,7,6,6,10,34,5,29,134.6441,1,12,6.33333333333333
