ID,Age,Sex,Sex_MaleFemaleOnly,Education,VerbalAbililtyTotal,VerbalAbility_GreaterThan8,LiberalConservative,ProChoice_ProLife,AbortionSpectrum,HowImportantisReferendumtoYou,HowWillYouVote,HowWillYouVote_Yes1No2,HowWillYouVote_MissingSameAsWontVote,TraditionalMediaConsumption,SocialMediaConsumption,DiscussionsFamilyFriends,ApprovalYesCampaign,ApprovalNoCampaign,VoterRegister,VoterRegisterDidntHear,VoterRegisterDontRemember,VoterRegisterTV,VoterRegisterNewspaper,VoterRegisterRadio,VoterRegisterOnlineNews,VoterRegisterSocialMedia,VoterRegisterFriend,VoterRegisterOther,VoterRegisterHowDidYouFeel,GAAStars,GAADidntHear,GAADontRemmeber,GAATV,GAANewspaper,GAARadio,GAAOnlineNews,GAASocialMedia,GAAFriend,GAAOther,GAAHowDidYouFeel,FakeNurse,FakeNurseDidntHear,FakeNurseDontRemember,FakeNurseTV,FakeNurseNewspaper,FakeNurseRadio,FakeNurseOnlineNews,FakeNurseSocialMedia,FakeNurseFriend,FakeNurseOther,FakeNurseHowDidYouFeel,Coveney,CoveneyDidntHear,CoveneyDontRemember,CoveneyTV,CoveneyNewspaper,CoveneyRadio,CoveneyOnlineNews,CoveneySocialMedia,CoveneyFriend,CoveneyOther,CoveneyHowDidYouFeel,YesPosters,YesPostersDidntHear,YesPostersDontRemember,YesPostersTV,YesPostersNewspaper,YesPostersRadio,YesPostersOnlineNews,YesPostersSocialMedia,YesPostersFriend,YesPostersOther,YesPostersHowDidYouFeel,NoComments,NoCommentsDidntHear,NoCommentsDontRemember,NoCommentsTV,NoCommentsNewspaper,NoCommentsRadio,NoCommentsOnlineNews,NoCommentsSocialMedia,NoCommentsFriend,NoCommentsOther,NoCommentsHowDidYouFeel,Saoirse,SaoirseDidntHear,SaoirseDontRemember,SaoirseTV,SaoirseNewspaper,SaoirseRadio,SaoirseOnlineNews,SaoirseSocialMedia,SaoirseFriend,SaoirseOther,SaoirseHowDidYouFeel,GraphicPosters,GraphicPostersDidntHear,GraphicPostersDontRemember,GraphicPostersTV,GraphicPostersNewspaper,GraphicPostersRadio,GraphicPostersOnlineNews,GraphicPostersSocialMedia,GraphicPostersFriend,GraphicPostersOtherSource,GraphicPostersHowDidYouFeel,RonanMullen,RonanMullenDidntHear,RonanMullenDontRemember,RonanMullenTV,RonanMullenNewspaper,RonanMullenRadio,RonanMullenOnlineNews,RonanMullenSocialMedia,RonanMullenFriend,RonanMullenOther,RonanMullenHowDidYouFeel,CarolNolan,CarolNolanDidntHear,CarolNolanDontRemember,CarolNolanTV,CarolNolanNewspaper,CarolNolanRadio,CarolNolanOnlineNews,CarolNolanSocialMedia,CarolNolanFriend,CarolNolanOther,CarolNolanHowDidYouFeel,YesComments,YesCommentsDidntHear,YesCommentsDontRemember,YesCommentsTV,YesCommentsNewspaper,YesCommentsRadio,YesCommentsOnlineNews,YesCommentsSocialMedia,YesCommentsFriend,YesCommentsOther,YesCommentsHowDidYouFeel,NoPosters,NoPostersDidntHear,NoPostersDontRemember,NoPostersTV,NoPostersNewspaper,NoPostersRadio,NoPostersOnlineNews,NoPostersSocialMedia,NoPostersFriend,NoPostersOtherSource,NoPostersHowDidYouFeel,SelectFakeVoterReg1,SelectFakeVoterReg2,SelectFakeCoveney1,SelectFakeCoveney2,SelectFakeNoComments1,SelectFakeNoComments2,SelectFakeNurse1,SelectFakeNurse2,SelectFakeGAA1,SelectFakeGAA2,SelectFakeYesPosters1,SelectFakeYesPosters2,SelectFakeCarolNolan1,SelectFakeCarolNolan2,SelectFakeRonanMullen1,SelectFakeRonanMullen2,SelectFakeGraphic1,SelectFakeGraphic2,SelectFakeSaoirse1,SelectFakeSaoirse2,SelectFakeNoPosters1,SelectFakeNoPosters2,SelectFakeYesComments1,SelectFakeYesComments2,SelectedNoCommentsTotal,SelectedYesPostersTotal,SelectedNoPostersTotal,SelectedYesCommentsTotal,SelectedCarolNolanTotal,SelectedRonanMullenTotal,SelectedGraphicImagesTotal,SelectedSaoirseTotal,SelectedVoterRegTotal,SelectedSimonCoveneyTotal,SelectedNurseTotal,SelectedGAATotal,TotalTrueStoriesSelectedAsFake,TotalFalseStoriesSelectedAsFake,TotalStoriesSelectedAsFake,SelectedPosterStoryAsFake,SelectedCommentsStoryAsFake,Approval_Posters_No,Approval_Comments_Yes,Approval_Posters_Yes,Approval_Comments_No,YesComments_AttCong,YesPosters_AttCong,NoPosters_AttCong,NoComments_AttCong,PostersAttCongruence,SPACE,BROADEN,EMANATE,EDIBLE,ANIMOSITY,PACT,CLOISTERED,CAPRICE,ACCUSTOM,ALLUSION,SpaceCorrect,CapriceCorrect,BroadenCorrect,CloisteredCorrect,EmanateCorrect,EdibleCorrect,PactCorrect,AnimosityCorrect,AllusionCorrect,AccustomCorrect,StoryResp,FakeStoryResp,TrueMemoryCount,FalseMemoryCount,FalseStories_YesorBelieve1,VoterRegister1Yes2Believe,GAA1Yes2Believe,FakeNurse1Yes2Believe,Coveney1Yes2Believe,YesPosters1Yes2Believe,NoComments1Yes2Believe,Saoirse1Yes2Believe,GraphicPosters1Yes2Believe,RonanMullen1Yes2Believe,CarolNolan1Yes2Believe,YesComments1Yes2Believe,NoPosters1Yes2Believe,VoterRegister1Yes,GAA1Yes,FakeNurse1Yes,Coveney1Yes,YesPosters1Yes,NoComments1Yes,Saoirse1Yes,GraphicPosters1Yes,RonanMullen1Yes,CarolNolan1Yes,YesComments1Yes,NoPosters1Yes,YesPoster1YesBelieve,NoComments1YesBelieve,YesComments1YesBelieve,NoPosters1YesBelieve,YesPoster1SpecificMemory,NoComments1SpecificMemory,YesComments1SpecificMemory,NoPosters1SpecificMemory,GAAStarsWhere,VoterRegWhere,FakeNurseWhere,CoveneyWhere,YesPostersWhere,NoCommentsWhere,SaoirseWhere,GraphicPostersWhere,RonanMullenWhere,CarolNolanWhere,YesCommentsWhere,NoPostersWhere,TrueStoriesWhere_Average,FalseStoriesWhere_Average,CommentsMemories,PostersMemories,PosterMemories_BelieveandYes1,CommentsMemories_BelieveandYes1,PosterCongruency_0against1inline,PosterResponsesMerged_1Memory_BelieveExcluded,PosterAttCongruenceMerged,CommentsCongruency_0inline1against,CommentsResponseMerged_1Memory_BelieveExcluded,YesPosters1Specific2Remember3Believe,NoComments1Specific2Remember3Believe,NoPosters1Specific2Remember3Believe,YesComments1Specific2Remember3Believe,Posters1Specific2Remember3Believe
479,47,1,1,3, , , ,1,1,1,1,1,1,3,2,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , ,1, , , , ,1, , , , , ,1, , , ,Ok,3, , , , , ,1, , , , ,3, , , , , ,1, , , ,Ok,3, , , , , ,1, , , , ,3, , , , , ,1, , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,0,1, , ,0,0,0,0, , , , ,0,1,1,1,0, , ,5,5, ,2, ,2,2, , , , , , , , , , , , , , , , , , , , ,6,2,0,1,2, , , , ,2,1,2,2,2,2, , , , , , , ,1, , , , , , ,1,1, , ,0,1, , , , , , , ,1, , , , , , , , ,1, ,1,1,0, ,2,0,1,3,1, , ,3
546, ,2,2,5, , ,2,1, ,9,1,1,1,3,4,4,1,5,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , , , , , , , , , , , , , , , , , ,1,0, , , , , , ,1,1,0,0,2,1,3,0,1, , ,3,5, ,2, ,4,2, , , , , , , , , , , , , , , , , , , , ,6,2,0,0,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , , , ,1,1,0, ,2,0, ,3,3, , ,3
3132, ,2,2,6,8,2,1,3,7,5,2,2,2,2,2,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0, , , , ,0,0,0,0,0,3,5, , ,4, ,2, ,2,4,5,1,3,1,3,2,4,4,1,1,1,1,0,0,1,1,1,1,1,6,2,0,0,2, , , , , , ,2,2,2,2,2,2, , , , , , , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , ,1,1,0, ,2,0, , , ,3,3,3
2255,22,4, ,5,9,2,2,1,1,9,1,1,1,4,2,4,2,5,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,0, , , , ,0,0,0,0,0,1,1,1,0,4,4, , ,2, ,3, ,3,4,5,5,3,1,3,2,4,4,1,1,1,1,0,1,1,1,1,1,1,6,2,0,0,2,2,2,2,2, , , , , , ,2,2, , , , , , , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , ,1,1,1, ,3,1, , , ,3,3,3
545, ,2,2,6, , ,1,1,3,9,1,1,1,2,3,4,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , ,3,1, , , , , , , , , ,5, , , , , , , ,1, , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0,0,0,0,1,0, , , , ,1,0,1,0,0,5,2, , ,3, ,4, ,4, , , , , , , , , , , , , , , , , , , , ,6,2,0,0,2, , , , , , ,0,2,0,2,2,2, , , , , , ,0, ,0, , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
1501, ,1,1,5,7,1,2,1,3,7,1,1,1,4,3,2,2,3,5,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , ,1, , , , , , , , , , , , , ,1,1, , , , , , ,1,0,0,0,1,2,3,1,1, , ,3,5, ,3, ,2,3,4,5,1,3,1,3,2,3,4,1,1,0,1,0,0,1,1,1,1,1,6,2,0,0,2,0,2,2,2,2,2, , , , , , ,0, , , , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , , , ,1,1,0, ,3,0, ,3,3, , ,3
1684,18,1,1,5,7,1,4,1,3,4,1,1,1,1,3,3,5,5,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, , , , , , , , ,1,"I wouldn't be surprised. Both the Yes and No campaigns have been pathetic, peddling misleading arguments that seek to attack the other side rather than give an honest account as to why their opinions are the correct ones.",5,1, , , , , , , , , ,3, , , , , , , , ,1,Not surprising. In order for it to be untrue the Yes campaign would need to have some semblance of integrity.,3, , , , , , , , , ,"If it's true, then she is a moron. These two events are unrelated, no matter how much she wishes otherwise.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, , , ,1, , , , , , , , , , , , , , , ,1,0, , , , , , ,1,1,0,1,3,1,4,0,1, , ,5,5, ,4, ,4,4,4,5,3,3,1,3,2, ,4,1,1, ,1,0,0,1,1,1,1,1,6,2,0,0,2,0,0,2,0,2,2, , , , , , ,0,0, ,0, , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , , , ,1,1,0, ,4,0, ,3,3, , ,3
1794,26,2,2,6,7,1,3,1,1,9,1,1,1,3,4,5,2,5,5,1, , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, ,0, , , , , , , , ,3,1, , , , , , , , , ,3, ,0, , , ,1, , , ,Angry, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , ,0,1, , , , , , ,1,0,0,0,1,1,2,1,0, , ,4,5, ,2, ,4,2,4,5,3,3,1,3,2,3,4,1,1,0,1,0,0,1,1,1,1,1,6,2,0,0,2,0,0,0,2,2,2, , , , , , ,0,0,0, , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , , , ,1,1,0, ,2,0, ,3,3, , ,3
1274, ,2,2,6,5,1,3,1,2,8,1,1,1,3,4,4,1,5,5,1, , , , , , , , , ,5,1, , , , , , , , , ,5,1, , , , , , , , , ,3, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , ,1, ,"I was shocked. It was an eye opener. I had always been pro-choice. But hearing the words ?all women of this country have been raped by the eighth amendment?, I?d felt I?d never heard more truer words spoken, even though I?d never thought about it that way.",3, , , , , , , ,1, ,"I remember thinking that this is an Irish issue, the Americans should mind their own business. Also with regard to the poster, it was completely irrelevant to the referendum as we are voting to allow abortion up to 12 weeks. Again, up to 6 months is legal in parts of the US. Their viewpoints shining through.", ,1, , , , , ,1, , , , , , , , , , , , , , , , , , ,0,0, , , , ,1,0,1,0,2,0,2,0,0,5,1, , ,4, ,4, ,4,4,5, ,3, ,3, , ,4, ,1, ,1, , ,1,1, , ,1,6,2,0,0,2,0,0,0,2, , , , , , ,2,2,0,0,0, , , , , , , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
1368, ,2,2,5,6,1,4,1,1,9,1,1,1,4,4,5,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1, , , , , , , , , ,5,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , ,1,0,0,0,1,0, , , , ,1,1,2,1,0,5,4, , ,1, ,4, ,4,4,5,1,3,1,3,2,2,4,4,1,0,1,0,0,1,1,1,0,1,6,2,0,0,2, , , , , , ,2,0,2,2,2,2, , , , , , , ,0, , , , , , ,1,1, , ,0,0, , , , , , , , , , , , , , , , ,1,1,1, ,4,1, , , ,3,3,3
