ID,experiment,age_group_participants,condition_information,gender_participants,age_participants,response,Hesitation_time,notes
1,1,0,0,0,4.16666666666667,1,2, 
2,1,0,0,0,4.16666666666667,0, , 
3,1,0,0,0,3.58333333333333,0, , 
4,1,0,0,0,4.25,1,4, 
5,1,0,0,0,4.08333333333333,1,3, 
6,1,0,0,0,3.5,0, , 
7,1,0,0,0,3.83333333333333,1,24, 
8,1,0,0,0,3.58333333333333,1,23, 
9,1,0,0,0,3.58333333333333,1,1, 
10,1,0,0,0,3.83333333333333,0, , 
11,1,0,0,0,3.66666666666667,1,12, 
12,1,0,0,0,4.41666666666667,1,11, 
13,1,0,0,0,3.75,1,30, 
14,1,0,0,0,4.25,1,13, 
15,1,0,0,0,3.66666666666667,0, , 
16,1,0,0,1,4.16666666666667,0, , 
17,1,0,0,1,4.16666666666667,1,25, 
18,1,0,0,1,4,1,2, 
19,1,0,0,1,3.91666666666667,1,12, 
20,1,0,0,1,3.83333333333333,0, , 
21,1,0,0,1,3.91666666666667,1,2, 
22,1,0,0,1,3.66666666666667,1,1, 
23,1,0,0,1,3.83333333333333,1,6, 
24,1,0,0,1,3.91666666666667,1,22, 
25,1,0,0,1,3.75,0, , 
26,1,0,0,1,4.25,1,23, 
27,1,0,0,1,3.58333333333333,1,1, 
28,1,0,0,1,3.83333333333333,1,17, 
29,1,0,0,1,4,1,13, 
30,1,0,0,1,3.83333333333333,1,38, 
31,1,0,1,0,3.66666666666667,1,1, 
32,1,0,1,0,3.41666666666667,1,2, 
33,1,0,1,0,4,1,2, 
34,1,0,1,0,3.91666666666667,1,1, 
35,1,0,1,0,3.41666666666667,0, , 
36,1,0,1,0,4,1,6, 
37,1,0,1,0,3.91666666666667,1,2, 
38,1,0,1,0,3.41666666666667,1,3, 
39,1,0,1,0,3.83333333333333,0, , 
40,1,0,1,0,3.75,1,5, 
41,1,0,1,0,3.58333333333333,0, , 
42,1,0,1,0,3.75,1,10, 
43,1,0,1,0,3.33333333333333,1,3, 
44,1,0,1,0,3.91666666666667,1,3, 
45,1,0,1,0,4.08333333333333,1,5, 
46,1,0,1,1,3.91666666666667,1,3, 
47,1,0,1,1,3.33333333333333,1,3, 
48,1,0,1,1,4,1,8, 
49,1,0,1,1,3.33333333333333,1,1, 
50,1,0,1,1,3.83333333333333,1,2, 
51,1,0,1,1,3.83333333333333,1,3, 
52,1,0,1,1,3.66666666666667,0, , 
53,1,0,1,1,3.83333333333333,1,6, 
54,1,0,1,1,3.83333333333333,1,5, 
55,1,0,1,1,3.91666666666667,1,24, 
56,1,0,1,1,3.75,1,6, 
57,1,0,1,1,4.33333333333333,0, , 
58,1,0,1,1,4.08333333333333,0, , 
59,1,0,1,1,3.66666666666667,1,12, 
60,1,0,1,1,4,1,10, 
61,1,1,0,0,6.16666666666667,0, , 
62,1,1,0,0,6,0, , 
63,1,1,0,0,5.5,0, , 
64,1,1,0,0,5.25,0, , 
65,1,1,0,0,5.75,1,2, 
66,1,1,0,0,5.33333333333333,1,26, 
67,1,1,0,0,6.25,1,15, 
68,1,1,0,0,5.83333333333333,0, , 
69,1,1,0,0,5.75,1,15, 
70,1,1,0,0,5.5,0, , 
71,1,1,0,0,6.66666666666667,0, , 
72,1,1,0,0,5.83333333333333,1,4, 
73,1,1,0,0,6.16666666666667,0, , 
74,1,1,0,0,6.41666666666667,1,22, 
75,1,1,0,1,5.75,0, , 
76,1,1,0,1,5.66666666666667,1,9, 
77,1,1,0,1,5.66666666666667,1,1, 
78,1,1,0,1,6.16666666666667,0, , 
79,1,1,0,1,6.08333333333333,0, , 
80,1,1,0,1,6.25,0, , 
